	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
0	SRS011061	26757230	1758854	feces	Human feces	1690444	Morganella morganii	1	Unknown	Human Microbiome Project
1	SRS011061	26757230	1758854	feces	Human feces	1690444	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2	SRS011061	26757230	1758854	feces	Human feces	1690444	Proteus terrae	0	Unknown	Human Microbiome Project
3	SRS011061	26757230	1758854	feces	Human feces	1690444	Providencia rettgeri	0	Unknown	Human Microbiome Project
4	SRS011061	26757230	1758854	feces	Human feces	1690444	Providencia stuartii	0	Unknown	Human Microbiome Project
5	SRS011061	26757230	1758854	feces	Human feces	1690444	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
6	SRS011061	26757230	1758854	feces	Human feces	1690444	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
7	SRS011061	26757230	1758854	feces	Human feces	1690444	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
8	SRS011061	26757230	1758854	feces	Human feces	1690444	Aeromonas media	0	Unknown	Human Microbiome Project
9	SRS011084	111423600	11878041	feces	Human feces	11440224	Morganella morganii	1	Unknown	Human Microbiome Project
10	SRS011084	111423600	11878041	feces	Human feces	11440224	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
11	SRS011084	111423600	11878041	feces	Human feces	11440224	Proteus terrae	0	Unknown	Human Microbiome Project
12	SRS011084	111423600	11878041	feces	Human feces	11440224	Providencia rettgeri	0	Unknown	Human Microbiome Project
13	SRS011084	111423600	11878041	feces	Human feces	11440224	Providencia stuartii	0	Unknown	Human Microbiome Project
14	SRS011084	111423600	11878041	feces	Human feces	11440224	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
15	SRS011084	111423600	11878041	feces	Human feces	11440224	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
16	SRS011084	111423600	11878041	feces	Human feces	11440224	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
17	SRS011084	111423600	11878041	feces	Human feces	11440224	Aeromonas media	0	Unknown	Human Microbiome Project
18	SRS011134	56717852	3619335	feces	Human feces	3572684	Morganella morganii	1	Unknown	Human Microbiome Project
19	SRS011134	56717852	3619335	feces	Human feces	3572684	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
20	SRS011134	56717852	3619335	feces	Human feces	3572684	Proteus terrae	0	Unknown	Human Microbiome Project
21	SRS011134	56717852	3619335	feces	Human feces	3572684	Providencia rettgeri	0	Unknown	Human Microbiome Project
22	SRS011134	56717852	3619335	feces	Human feces	3572684	Providencia stuartii	0	Unknown	Human Microbiome Project
23	SRS011134	56717852	3619335	feces	Human feces	3572684	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
24	SRS011134	56717852	3619335	feces	Human feces	3572684	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
25	SRS011134	56717852	3619335	feces	Human feces	3572684	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
26	SRS011134	56717852	3619335	feces	Human feces	3572684	Aeromonas media	0	Unknown	Human Microbiome Project
27	SRS011239	61916490	8545489	feces	Human feces	8287422	Morganella morganii	3	Unknown	Human Microbiome Project
28	SRS011239	61916490	8545489	feces	Human feces	8287422	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
29	SRS011239	61916490	8545489	feces	Human feces	8287422	Proteus terrae	0	Unknown	Human Microbiome Project
30	SRS011239	61916490	8545489	feces	Human feces	8287422	Providencia rettgeri	0	Unknown	Human Microbiome Project
31	SRS011239	61916490	8545489	feces	Human feces	8287422	Providencia stuartii	0	Unknown	Human Microbiome Project
32	SRS011239	61916490	8545489	feces	Human feces	8287422	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
33	SRS011239	61916490	8545489	feces	Human feces	8287422	Atlantibacter hermannii	2	Unknown	Human Microbiome Project
34	SRS011239	61916490	8545489	feces	Human feces	8287422	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
35	SRS011239	61916490	8545489	feces	Human feces	8287422	Aeromonas media	0	Unknown	Human Microbiome Project
36	SRS011271	62238412	4509299	feces	Human feces	4397217	Morganella morganii	0	Unknown	Human Microbiome Project
37	SRS011271	62238412	4509299	feces	Human feces	4397217	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
38	SRS011271	62238412	4509299	feces	Human feces	4397217	Proteus terrae	0	Unknown	Human Microbiome Project
39	SRS011271	62238412	4509299	feces	Human feces	4397217	Providencia rettgeri	1	Unknown	Human Microbiome Project
40	SRS011271	62238412	4509299	feces	Human feces	4397217	Providencia stuartii	0	Unknown	Human Microbiome Project
41	SRS011271	62238412	4509299	feces	Human feces	4397217	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
42	SRS011271	62238412	4509299	feces	Human feces	4397217	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
43	SRS011271	62238412	4509299	feces	Human feces	4397217	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
44	SRS011271	62238412	4509299	feces	Human feces	4397217	Aeromonas media	0	Unknown	Human Microbiome Project
45	SRS011302	60579449	4161378	feces	Human feces	3687218	Morganella morganii	1	Unknown	Human Microbiome Project
46	SRS011302	60579449	4161378	feces	Human feces	3687218	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
47	SRS011302	60579449	4161378	feces	Human feces	3687218	Proteus terrae	0	Unknown	Human Microbiome Project
48	SRS011302	60579449	4161378	feces	Human feces	3687218	Providencia rettgeri	0	Unknown	Human Microbiome Project
49	SRS011302	60579449	4161378	feces	Human feces	3687218	Providencia stuartii	0	Unknown	Human Microbiome Project
50	SRS011302	60579449	4161378	feces	Human feces	3687218	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
51	SRS011302	60579449	4161378	feces	Human feces	3687218	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
52	SRS011302	60579449	4161378	feces	Human feces	3687218	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
53	SRS011302	60579449	4161378	feces	Human feces	3687218	Aeromonas media	0	Unknown	Human Microbiome Project
54	SRS011405	61020717	9261572	feces	Human feces	8852806	Morganella morganii	0	Unknown	Human Microbiome Project
55	SRS011405	61020717	9261572	feces	Human feces	8852806	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
56	SRS011405	61020717	9261572	feces	Human feces	8852806	Proteus terrae	0	Unknown	Human Microbiome Project
57	SRS011405	61020717	9261572	feces	Human feces	8852806	Providencia rettgeri	0	Unknown	Human Microbiome Project
